,S,E,I,R,D,C,L,time
0,3673844.6,0.0,1.0,0.0,0.0,0.0,0.0,0
1,3673844.300000082,0.2999999183416962,0.87,0.10400000000000001,0.026000000000000002,0.48,0.0,1
2,3673843.1000010474,0.0,2.2568990148666983,0.19447995029278647,0.04861998757319662,1.1039996786232955,0.016900000000000002,2
3,3673842.422931804,0.6770692437238393,1.9635021429340276,0.4291974478389231,0.10729936195973078,2.3039991759326224,0.0316029919225778,3
4,3673839.714658224,0.0,5.093590144777296,0.6334013053318625,0.1583503263329656,3.8289897014060172,0.069744585273825,4
5,3673838.1865836275,1.5280745955198463,4.431423425956246,1.1631346803887008,0.2907836700971752,6.653953753919257,0.10292771211642765,5
6,3673832.0743028545,0.0,11.495696392264303,1.624000602448424,0.406000150612106,10.212380317568542,0.18900938556316388,6
7,3673828.6256066337,3.4486962208494716,10.001255861269943,2.8195530272439115,0.7048882568109779,16.704714947461845,0.2639000978978689,7
8,3673814.830912155,0.0,25.944497473932216,3.8596722964015977,0.9649180741003994,24.852350742623994,0.4581773669271356,8
9,3673807.0476281005,7.783284055293054,22.57171280232103,6.55790003369055,1.6394750084226375,39.621512908221085,0.6271967481652596,9
10,3673775.914953969,0.0,58.55342213999639,8.905299113067535,2.226324778266884,58.126265978061355,1.0656587554747143,10
11,3673758.3492605165,17.56569345179214,50.941477261796855,14.994855015627158,3.7487137539067894,91.57508807300844,1.4471111058734745,11
12,3673688.0888439324,0.0,132.14557486085508,20.29246496531044,5.07311624132761,133.45344583642452,2.4366639400394132,12
13,3673648.4468711433,39.64197278947358,114.96665012894393,34.035604750839376,8.508901187709844,209.0588007489291,3.2975255568629467,13
14,3673489.890993632,0.0,298.22077750899246,45.9905830872383,11.497645771809575,303.68204610180953,5.530785772011399,14
15,3673400.433422677,89.45757095482277,259.45207643282345,77.00554394817351,19.251385987043378,474.42236915853715,7.473469751676224,15
16,3673042.664335026,0.0,672.9598712768935,103.98063495790394,25.995158739475986,688.0498861862444,12.513400891578195,16
17,3672840.8204971747,201.84383785089688,585.4750880108973,173.96846157070087,43.49211539267522,1073.4590053738377,16.89685318065939,17
18,3672033.756723347,0.0,1518.321414374143,234.81748982262587,58.70437245565647,1555.4856742472666,28.26987500523889,18
19,3671578.484937799,455.27178554845557,1320.9396305055043,392.7229169175368,98.1807292293842,2425.1704470406944,38.15784209617671,19
