,S,E,I,R,D,C,L,time
0,3673844.6,0.0,1.0,0.0,0.0,0.0,0.0,0
1,3673843.3000003537,1.2999996461473504,0.87,0.10400000000000001,0.026000000000000002,0.48,0.0,1
2,3673838.1000100756,0.0,7.256890193305602,0.19447978460224186,0.048619946150560464,1.5839980758901802,0.06760000000000001,2
3,3673828.6660720836,9.433937992299482,6.3134944681758745,0.9491963647060248,0.2372990911765062,5.183993239643809,0.1264118599914572,3
4,3673790.930759514,0.0,52.66200688204431,1.605786883009695,0.40144672075242377,13.312171644003115,0.6169776370589161,4
5,3673722.4711693064,68.45959020773883,45.81594598737855,7.0826355987423035,1.7706588996855759,39.55340707722398,1.043761473956302,5
6,3673448.6559605156,0.0,382.1355357239625,11.846803008316265,2.961700752079066,98.64949200921274,4.6037131391824975,6
7,3672951.933438717,496.7225217983913,332.4579160798474,51.58889872360837,12.897224680902092,289.182630961766,7.700421955405572,7
8,3670966.2619097168,0.0,2771.6780003726735,86.12807192842682,21.532017982106705,717.8387854408304,33.53278417034544,8
9,3667365.9044649946,3600.357444721986,2411.359860324226,374.3825839671849,93.59564599179623,2099.921068776829,55.98324675347744,9
10,3653028.3467367087,0.0,20038.188598433215,623.2517318866509,155.81293297166272,5194.237826812667,243.34867957867021,10
11,3627126.307669652,25902.03906705625,17433.224080636897,2707.2233461237047,676.8058365309262,15186.519393192555,405.1136257263231,11
12,3526770.1669870876,0.0,141547.31800413848,4422.492007019169,1105.6230017547923,36798.12861232736,1759.6951749804082,12
13,3350125.2051356044,176644.96185148304,123146.16666360048,19143.413079449572,4785.853269862393,107394.33645852536,2874.61980456246,13
14,2779946.4170940854,0.0,859248.3270863179,27720.684655677152,6930.171163919288,227990.76450941263,12443.218501642223,14
15,1934711.222462878,845235.1946312076,747546.0445650967,117082.51067265424,29270.62766816356,657062.3723042517,18018.44502619015,15
16,798967.9678269175,0.0,2738135.341326906,109393.83267694112,27348.45816923528,837659.0336253358,76103.63193722526,16
17,24850.743607280314,774117.2242196373,2382177.7469544085,394159.9081749394,98539.97704373485,2217600.297068416,71105.99124001173,17
18,2124.5311617185066,0.0,3234964.361523653,349405.3658517029,87351.34146292573,2160488.0090274652,256203.94031371063,18
19,0.0,2431.748846484871,2814183.5084221265,685784.2741851109,171446.06854627773,3922585.8867350956,227113.4878036069,19
20,0.0,0.0,2454001.1019005636,975875.598479549,243968.89961988726,5422933.549383009,445759.7782203221,20
21,0.0,0.0,2134980.95865349,1231091.7130772076,307772.9282693019,5437291.488000001,634319.1390117069,21
22,0.0,0.0,1857433.4340285365,1453129.7327771708,363282.4331942927,5437291.488000001,800209.613500185,22
23,0.0,0.0,1615967.0876048268,1646302.8099161389,411575.7024790347,5437291.488,944534.3263051611,23
24,0.0,0.0,1405891.3662161992,1814363.3870270408,453590.8467567602,5437291.488,1070096.8264454904,24
25,0.0,0.0,1223125.488608093,1960576.089113525,490144.0222783813,5437291.488,1179336.2015675765,25
26,0.0,0.0,1064119.175089041,2087781.139928767,521945.28498219175,5437291.488000001,1274374.4579237914,26
27,0.0,0.0,925783.6823274657,2198449.5341380276,549612.3835345069,5437291.488000001,1357057.7409536985,27
28,0.0,0.0,805431.803624895,2294731.0371000837,573682.7592750209,5437291.488,1428992.197189718,28
29,0.0,0.0,700725.6691536588,2378495.944677073,594623.9861692683,5437291.488000001,1491575.1741150545,29
30,0.0,0.0,609631.3321636833,2451371.4142690534,612842.8535672633,5437291.488000001,1546022.3640400975,30
31,0.0,0.0,530379.2589824045,2514773.0728140767,628693.2682035192,5437291.488000001,1593391.4192748847,31
32,0.0,0.0,461429.9553146918,2569932.515748246,642483.1289370615,5437291.488,1634602.4973291499,32
33,0.0,0.0,401444.06112378195,2617921.231100974,654480.3077752435,5437291.488000001,1670456.1352363601,33
34,0.0,0.0,349256.3331776903,2659671.4134578477,664917.8533644619,5437291.488,1701648.8002156334,34
35,0.0,0.0,303853.00986459054,2695994.072108328,673998.518027082,5437291.488000001,1728786.418747601,35
36,0.0,0.0,264352.11858219374,2727594.785134245,681898.6962835613,5437291.488,1752396.146870413,36
37,0.0,0.0,229986.34316650854,2755087.405466793,688771.8513666983,5437291.488,1772936.6103372595,37
38,0.0,0.0,200088.11855486245,2779005.98515611,694751.4962890275,5437291.488000001,1790806.8135534155,38
